"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Fairly active","12.4","%","196180","24235","0.126","0.121","198911"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Fairly active","8.9","%","27894","2477","0.095","0.083","13145"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Fairly active","11.8","%","32522","3828","0.124","0.112","24481"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Fairly active","13.2","%","30550","4018","0.137","0.126","30895"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Fairly active","12.9","%","33540","4312","0.134","0.123","34273"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Fairly active","13.3","%","26876","3581","0.138","0.128","37699"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Fairly active","14","%","24199","3377","0.144","0.135","37300"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Fairly active","13","%","18975","2467","0.137","0.124","19429"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Fairly active","12.5","%","67081","8352","0.1275","0.1215","95199"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Fairly active","13.8","%","45926","6358","0.143","0.134","45047"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Fairly active","12.3","%","27886","3442","0.13","0.117","18761"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Fairly active","12.5","%","7486","938","0.141","0.111","4003"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Fairly active","9.2","%","27202","2504","0.099","0.086","14783"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically active","62.1","%","196180","121778","0.624","0.617","198911"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically active","76.4","%","27894","21306","0.754","0.774","13145"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically active","68.6","%","32522","22324","0.678","0.695","24481"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically active","66.6","%","30550","20343","0.658","0.674","30895"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically active","64.9","%","33540","21766","0.641","0.657","34273"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically active","58.6","%","26876","15748","0.578","0.594","37699"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically active","55.1","%","24199","13344","0.545","0.558","37300"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically active","33.4","%","18975","6333","0.343","0.325","19429"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically active","71","%","67081","47649","0.714","0.706","95199"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically active","61.6","%","45926","28284","0.623","0.609","45047"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically active","55.9","%","27886","15583","0.569","0.549","18761"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically active","50.8","%","7486","3803","0.53","0.486","4003"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically active","71.7","%","27202","19512","0.727","0.707","14783"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically inactive","25.6","%","196180","50168","0.259","0.253","198911"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically inactive","14.7","%","27894","4111","0.156","0.139","13145"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically inactive","19.6","%","32522","6370","0.204","0.188","24481"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically inactive","20.3","%","30550","6189","0.21","0.196","30895"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically inactive","22.2","%","33540","7461","0.229","0.216","34273"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically inactive","28.1","%","26876","7546","0.288","0.274","37699"
